Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,115.000000,120.500000,114.000000,115.650002,110.314041,21438379
2020-04-28,117.650002,120.000000,114.599998,117.099998,111.697136,21751561
2020-04-29,119.000000,132.399994,117.349998,126.900002,121.044983,67869631
2020-04-30,130.699997,134.899994,127.400002,132.699997,126.577377,30142557
2020-05-04,124.500000,126.400002,119.550003,121.400002,115.798744,13678814
2020-05-05,125.000000,127.199997,117.400002,118.900002,113.414093,19456602
2020-05-06,120.050003,126.000000,118.300003,123.550003,117.849548,18027087
2020-05-07,125.000000,130.899994,123.550003,125.199997,119.423416,17034782
2020-05-08,128.899994,131.500000,121.699997,123.250000,117.563385,17378946
2020-05-11,126.000000,126.400002,121.150002,122.500000,116.847992,12569442
2020-05-12,120.000000,120.300003,112.699997,119.000000,113.509476,21614680
2020-05-13,129.000000,139.649994,125.349998,136.600006,130.297440,53862950
2020-05-14,135.000000,144.899994,130.050003,131.399994,125.337357,52919773
2020-05-15,132.000000,134.800003,128.550003,133.449997,127.292763,26315670
2020-05-18,131.899994,131.899994,117.199997,118.949997,113.461784,28889473
2020-05-19,122.050003,124.599998,117.800003,120.400002,114.844887,23666457
2020-05-20,119.400002,125.800003,118.550003,124.250000,118.517250,19926250
2020-05-21,124.250000,126.650002,120.449997,121.800003,116.180290,12315699
2020-05-22,121.349998,123.650002,114.500000,115.650002,110.314041,20932974
2020-05-26,117.449997,118.449997,113.800003,115.199997,109.884804,10996639
2020-05-27,115.900002,123.949997,115.650002,121.800003,116.180290,24535758
2020-05-28,123.000000,126.000000,119.650002,120.800003,115.226433,14826054
2020-05-29,118.500000,122.750000,117.199997,122.150002,116.514145,15758658
2020-06-01,125.000000,131.000000,124.000000,127.949997,122.046532,19158784
2020-06-02,128.399994,130.300003,124.699997,126.800003,120.949600,12604346
2020-06-03,129.000000,135.649994,128.000000,128.649994,122.714233,18711284
2020-06-04,128.649994,133.500000,125.800003,127.750000,121.855759,15509750
2020-06-05,129.699997,131.899994,127.000000,130.250000,124.240410,15448434
2020-06-08,134.800003,152.300003,132.800003,149.000000,142.125305,54828918
2020-06-09,155.000000,156.600006,141.399994,144.500000,137.832932,44235723
2020-06-10,145.000000,164.699997,144.500000,161.800003,154.334732,58870168
2020-06-11,160.949997,165.350006,152.300003,153.199997,146.131516,31526092
2020-06-12,141.000000,155.649994,141.000000,153.449997,146.369995,28395260
2020-06-15,153.000000,159.399994,150.300003,153.500000,146.417679,27221131
2020-06-16,158.899994,160.899994,144.500000,152.350006,145.320755,24450538
2020-06-17,148.850006,157.399994,148.199997,152.250000,145.225357,19248364
2020-06-18,152.000000,157.500000,151.750000,155.149994,147.991562,16132026
2020-06-19,157.399994,209.449997,156.850006,203.399994,194.015350,97948282
2020-06-22,219.800003,254.250000,215.800003,242.199997,231.025177,85313320
2020-06-23,251.000000,263.250000,235.399994,240.300003,229.212845,60999596
2020-06-24,243.100006,245.899994,193.800003,208.100006,198.498520,49608925
2020-06-25,200.000000,239.199997,197.449997,227.300003,216.812653,83051819
2020-06-26,233.000000,239.399994,217.649994,227.649994,217.146484,46061302
2020-06-29,223.899994,228.250000,208.550003,216.649994,206.654007,34076740
2020-06-30,224.000000,224.000000,204.350006,207.149994,197.592346,34683391
2020-07-01,209.000000,232.399994,203.800003,220.149994,209.992523,76077518
2020-07-02,226.050003,233.000000,221.550003,225.300003,214.904922,44146182
2020-07-03,227.250000,234.899994,214.750000,231.050003,220.389633,64216518
2020-07-06,229.000000,236.750000,222.000000,231.800003,221.105026,43374585
2020-07-07,230.000000,235.000000,227.500000,231.449997,220.771164,27095730
2020-07-08,233.000000,236.000000,225.699997,228.300003,217.766510,14362656
2020-07-09,230.000000,233.000000,228.050003,229.250000,218.672668,10391110
2020-07-10,227.000000,238.750000,223.100006,235.449997,224.586609,20677282
2020-07-13,238.449997,250.800003,235.600006,238.399994,227.400497,54440471
2020-07-14,235.949997,235.949997,220.550003,223.449997,213.140274,25952509
2020-07-15,226.500000,228.750000,213.350006,215.199997,205.270920,25190543
2020-07-16,216.750000,221.300003,209.500000,218.949997,208.847900,22023177
2020-07-17,224.000000,228.000000,217.250000,222.199997,211.947952,23141403
2020-07-20,223.949997,225.750000,220.199997,221.850006,211.614105,13200346
2020-07-21,223.949997,234.500000,223.100006,224.649994,214.284897,26128470
2020-07-22,225.649994,226.000000,217.050003,219.550003,209.420212,16815550
2020-07-23,220.899994,223.250000,217.500000,219.250000,209.134064,11026681
2020-07-24,216.000000,225.750000,214.000000,216.100006,206.129410,24614024
2020-07-27,217.000000,217.500000,211.500000,212.300003,202.504730,7802257
2020-07-28,213.000000,217.000000,212.300003,215.800003,205.843246,9161218
2020-07-29,216.000000,218.800003,212.600006,213.899994,204.030899,8024872
2020-07-30,215.699997,217.800003,197.100006,199.699997,190.486069,23527256
2020-07-31,199.699997,199.699997,179.750000,190.000000,181.233627,44051370
2020-08-03,188.000000,191.750000,181.300003,182.600006,174.175064,16131921
2020-08-04,183.000000,187.649994,176.250000,184.750000,176.225845,20633558
2020-08-05,186.500000,194.500000,186.000000,190.350006,181.567474,19000475
2020-08-06,191.949997,195.000000,188.750000,190.850006,182.044403,15267876
2020-08-07,191.000000,199.649994,190.199997,193.350006,184.429062,21850152
2020-08-10,195.199997,212.649994,194.800003,204.699997,195.255371,33936627
2020-08-11,207.050003,220.449997,206.250000,214.699997,204.793991,37353723
2020-08-12,214.000000,220.399994,212.000000,218.000000,207.941742,16505854
2020-08-13,223.000000,227.550003,211.550003,212.699997,202.886261,20829435
2020-08-14,212.800003,214.750000,201.149994,204.899994,195.446152,10968015
2020-08-17,207.899994,210.399994,200.000000,203.350006,193.967682,14090775
2020-08-18,205.000000,211.350006,202.250000,207.750000,198.164642,19081466
2020-08-19,210.000000,211.199997,204.250000,204.800003,195.350769,9339438
2020-08-20,203.649994,208.800003,201.100006,204.000000,194.587677,7933104
2020-08-21,206.250000,207.399994,202.399994,203.149994,193.776886,6200804
2020-08-24,205.000000,210.000000,201.100006,202.399994,193.061493,14622659
2020-08-25,205.800003,209.800003,202.149994,206.300003,196.781555,19656526
2020-08-26,208.500000,223.000000,207.149994,217.750000,207.703278,53640625
2020-08-27,222.000000,224.000000,215.000000,219.350006,209.229462,22123698
2020-08-28,222.500000,229.600006,221.649994,223.899994,213.569504,26743140
2020-08-31,226.000000,230.250000,202.600006,208.199997,198.593887,31170395
2020-09-01,210.949997,211.500000,194.000000,205.800003,196.304626,24439250
2020-09-02,205.800003,208.500000,202.649994,204.350006,194.921539,7932259
2020-09-03,204.350006,206.550003,198.300003,199.899994,190.676849,7339324
2020-09-04,195.000000,196.449997,190.449997,192.750000,183.856735,10454969
2020-09-07,193.000000,198.199997,190.100006,194.949997,185.955231,15990020
2020-09-08,194.300003,205.800003,191.500000,201.649994,192.346100,26945506
2020-09-09,196.300003,202.800003,193.350006,201.300003,192.012253,17764010
2020-09-10,204.000000,205.000000,192.500000,194.699997,185.716766,15623443
2020-09-11,195.100006,200.500000,194.100006,198.899994,189.722977,15192817
2020-09-14,198.899994,200.399994,188.050003,189.500000,180.756683,15991776
2020-09-15,190.949997,191.449997,184.500000,185.850006,177.275101,13612525
2020-09-16,187.399994,193.500000,185.000000,186.399994,177.799728,14152237
2020-09-17,186.300003,188.699997,180.100006,181.600006,173.221191,12050512
2020-09-18,182.699997,186.500000,178.000000,178.600006,170.359604,15286699
2020-09-21,180.000000,182.000000,151.850006,155.199997,148.039261,56044842
2020-09-22,156.500000,165.699997,146.899994,154.399994,147.276154,52425216
2020-09-23,158.000000,160.250000,150.000000,151.649994,144.653046,14413254
2020-09-24,147.800003,150.800003,137.500000,138.800003,132.395935,24457566
2020-09-25,140.600006,146.899994,127.750000,145.250000,138.548325,60820570
2020-09-28,148.500000,157.100006,147.000000,155.199997,148.039261,26255950
2020-09-29,156.000000,156.899994,150.199997,152.100006,145.082291,17742597
2020-09-30,153.000000,160.000000,151.149994,157.149994,149.899277,30317137
2020-10-01,159.000000,161.800003,155.750000,156.500000,149.279282,17683691
2020-10-05,156.500000,158.949997,151.800003,152.649994,145.606903,11008560
2020-10-06,154.100006,157.399994,151.699997,153.899994,146.799240,13772783
2020-10-07,153.899994,157.899994,149.649994,151.000000,144.033035,16268732
