MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       963.00,       931.31,       931.31,       930.00,       930.00,                   256787.78,276, ,12,       997.00,       900.00
N,N8,NAVIFIN,SEC RE NCD 11.02% SR.V,      1018.80,      1018.80,      1018.80,      1011.00,      1014.00,                   497848.80,491, ,3,      1025.50,       995.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1072.50,      1067.31,      1067.31,      1066.00,      1066.00,                   213362.44,200, ,4,      1149.85,      1033.01
N,N8,PFC,8.92% TAX FREE NCD,      1336.44,      1335.00,      1349.00,      1335.00,      1349.00,                  2062698.90,1545, ,20,      1421.00,      1276.00
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1010.00,      1020.00,      1020.00,      1019.90,      1019.90,                   203990.00,200, ,7,      1097.90,      1000.05
N,N9,CREDITACC,SEC RE NCD 9.25% SR III,       997.99,       997.06,       997.06,       997.06,       997.06,                      997.06,1,XI,1,      1001.00,       992.60
N,N9,HUDCO,7.69% TAX FREETRII SR2B,      1176.67,      1176.70,      1176.70,      1176.25,      1176.59,                    76478.75,65, ,3,      1234.90,      1137.00
N,N9,IBULHSGFIN,SEC RED NCD 8.85% SR. VI,       935.00,       937.00,       937.00,       937.00,       937.00,                     3748.00,4, ,2,      1060.00,       842.00
N,N9,IIHFL,SEC RE NCD 8.20% SR.III,       920.01,       925.00,       943.90,       925.00,       943.90,                    92594.50,100, ,2,       985.90,       822.40
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1045.00,      1045.21,      1045.21,      1045.00,      1045.00,                    47027.10,45, ,5,      1329.40,      1012.81
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1201.61,      1202.00,      1202.00,      1181.00,      1200.01,                  1776267.15,1485, ,24,      1289.00,      1101.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1176.00,      1189.11,      1189.11,      1182.00,      1182.00,                  1236568.98,1042, ,11,      1298.90,      1137.10
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1165.00,      1163.00,      1165.00,      1163.00,      1165.00,                  1442137.20,1238, ,5,      1217.00,      1090.00
N,NA,PCHFL,SEC RE NCD 9% SR.V,       995.95,       997.75,       997.75,       996.90,       996.90,                   109667.50,110, ,2,      1088.00,       975.10
N,NB,INDIGRID,SEC RE NCD 6.75% SR. I,      1003.94,      1003.94,      1003.94,      1003.94,      1003.94,                    25098.50,25, ,1,      1052.00,       905.00
N,NC,IIFL,UNSEC RED NCD 10.00% SR.V,       995.71,       992.00,       992.00,       991.12,       991.17,                    89208.04,90, ,6,      1043.90,       842.80
N,NC,IIHFL,SEC RE NCD 8.43% SR.VI,       908.83,       915.00,       915.00,       910.00,       910.00,                   158245.00,173, ,2,       991.60,       829.20
N,NC,IRFC,BOND 8.63% PA TF TII-SIIA,      1209.00,      1209.00,      1209.00,      1209.00,      1209.00,                    60450.00,50, ,3,      1250.00,      1081.00
N,NC,L&TFINANCE,SERENCD 9.25% SR.III OPII,      1053.45,      1055.00,      1055.00,      1054.99,      1054.99,                     6329.96,6, ,3,      1168.95,      1002.10
N,NC,NHAI,TAX FREE 7.29% SR. IB,      1042.00,      1044.99,      1044.99,      1042.00,      1042.00,                     4170.99,4, ,3,      1130.00,      1042.00
N,NC,NTPC,TFB 7.53% 2030 SR. 2B,      1160.00,      1148.51,      1148.51,      1096.00,      1099.57,                   168333.02,153, ,5,      1199.00,      1063.21
N,ND,CREDITACC,SEC RE NCD 9.70% SR VII,       994.50,       992.99,       992.99,       989.90,       989.96,                   121882.50,123,XI,25,       999.00,       980.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1209.89,      1207.20,      1213.94,      1207.20,      1211.00,                   798202.50,660, ,17,      1279.00,      1151.10
N,ND,IBUCCREDIT,SERENCD9.20%SRVIICIII&IV,       850.00,       842.00,       842.00,       842.00,       842.00,                    37048.00,44, ,1,      1014.00,       800.00
N,ND,INDIGRID,SEC RE NCD 7.60% SR.II,       995.00,       995.00,       995.00,       995.00,       995.00,                   168155.00,169, ,5,      1048.00,       965.00
N,ND,IRFC,BOND 8.44% PA TF TII-SIB,      1071.80,      1071.80,      1071.80,      1071.80,      1071.80,                     9646.20,9, ,1,      1307.80,      1001.10
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1180.00,      1181.00,      1181.00,      1173.00,      1173.00,                    55231.00,47, ,3,      1288.00,      1173.00
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1340.89,      1341.10,      1369.00,      1340.00,      1346.06,                  1491327.99,1111, ,25,      1424.00,      1205.10
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       930.00,       906.75,       930.00,       906.75,       928.00,                    57622.75,62, ,3,      1015.00,       900.00
N,NE,IIFL,UNSE RE NCD 10% SR.I,       994.81,       992.00,       992.00,       992.00,       992.00,                    99200.00,100, ,1,      1091.10,       900.00
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1197.01,      1199.00,      1205.51,      1199.00,      1205.51,                    96050.20,80, ,3,      1284.00,      1160.00
N,NE,L&TFINANCE,SERENCD 8.89% SR.IV OPII,      1005.00,      1010.55,      1010.55,      1010.55,      1010.55,                     2021.10,2, ,1,      1105.56,       988.01
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1131.50,      1132.90,      1132.90,      1132.00,      1132.19,                   445122.55,393, ,7,      1205.90,      1128.00
N,NE,RECLTD,BOND8.44% PA TF TR II S1B,      1070.00,      1066.11,      1066.11,      1066.11,      1066.11,                     5330.55,5, ,1,      1128.67,      1010.30
N,NF,IIFL,UNSE RE NCD 9.6% SR.II,       982.40,       976.25,       987.95,       976.25,       978.94,                  1349255.67,1377, ,42,      1018.90,       960.00
N,NF,TCFSL,UNSERENCD9.1%SRIIICIII&IV,      1051.00,      1049.00,      1049.00,      1048.00,      1048.54,                    57670.00,55, ,4,      1195.00,      1038.00
N,NG,IRFC,TAX FREE  7.28% SR. 103,      1170.00,      1170.00,      1170.00,      1170.00,      1170.00,                  3506490.00,2997, ,6,      1968.00,      1137.00
N,NG,L&TFINANCE,SE RE NCD 9.35% SR.V OPII,      1092.00,      1109.99,      1109.99,      1109.99,      1109.99,                     1109.99,1, ,1,      1180.00,      1065.05
N,NH,IBUCCREDIT,SEC RE NCD 9.40% SR.III,       946.51,       962.00,       962.00,       960.00,       960.00,                    48010.00,50, ,4,      1014.75,       815.50
N,NH,IFCI,9.90 % SRNCD SR VI,      1079.95,      1075.00,      1075.00,      1075.00,      1075.00,                   145125.00,135, ,9,      1109.90,      1001.00
N,NH,IIFL,SEC RE NCD 8.25% SR.I,      1072.92,      1075.03,      1075.03,      1072.99,      1072.99,                   348926.69,325, ,28,      1076.00,       905.21
N,NI,IIFL,SEC RE NCD 0% SR.II,      1165.62,      1165.00,      1165.62,      1165.00,      1165.26,                   101377.94,87, ,2,      1170.50,      1034.20
